S.No,Company_Name,NSE_Symbol,Rating,Industry,,,,
97,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
98,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs,,,,
99,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs,,,,
100,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs,,,,
101,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs,,,,
102,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs,,,,
103,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs,,,,
104,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
105,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
106,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
107,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
108,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
109,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
110,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
111,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
112,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
113,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
114,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs,,,,
115,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs,,,,
116,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs,,,,
117,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs,,,,
118,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs,,,,
119,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs,,,,
120,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
121,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
122,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
123,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
124,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
125,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
126,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
127,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
128,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
129,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
130,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs,,,,
131,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs,,,,
132,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs,,,,
133,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs,,,,
134,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs,,,,
135,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs,,,,
136,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
137,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
138,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
139,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
140,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
141,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
142,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
143,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
144,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
145,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
146,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
147,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
148,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
149,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
150,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
151,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
152,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
153,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs,,,,
154,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs,,,,
155,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs,,,,
156,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs,,,,
157,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs,,,,
158,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs,,,,
159,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
160,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
161,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
162,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
163,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
164,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
165,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
166,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
167,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
168,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
169,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs,,,,
170,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs,,,,
171,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs,,,,
172,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs,,,,
173,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs,,,,
174,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs,,,,
175,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
176,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
177,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
178,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
179,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
180,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
181,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
182,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
183,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
184,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
185,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs,,,,
186,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs,,,,
187,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs,,,,
188,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs,,,,
189,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs,,,,
190,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs,,,,
191,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
192,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
193,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
194,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
195,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
196,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
197,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
198,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
199,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
200,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
201,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs,,,,
202,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs,,,,
203,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs,,,,
204,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs,,,,
205,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs,,,,
206,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs,,,,
207,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
208,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
209,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
210,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
211,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
212,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
213,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
214,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
215,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
216,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
217,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
218,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
219,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
220,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
221,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
222,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
223,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
224,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs,,,,
225,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs,,,,
226,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs,,,,
227,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs,,,,
228,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs,,,,
229,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs,,,,
230,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
231,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
232,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
233,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
234,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
235,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
236,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
237,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
238,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
239,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
240,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs,,,,
241,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs,,,,
242,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs,,,,
243,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs,,,,
244,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs,,,,
245,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs,,,,
246,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
247,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
248,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
249,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
250,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
251,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
252,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
253,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
254,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
255,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
256,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs,,,,
257,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs,,,,
258,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs,,,,
259,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs,,,,
260,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs,,,,
261,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs,,,,
262,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
263,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
264,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
265,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
266,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
267,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
268,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
269,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
270,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
271,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
272,Alkem Laboratories Ltd.,ALKEM,AL,Pharmaceuticals & Drugs,,,,
273,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G,Pharmaceuticals & Drugs,,,,
274,Ipca Laboratories Ltd.,IPCALAB,I,Pharmaceuticals & Drugs,,,,
275,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM,Pharmaceuticals & Drugs,,,,
276,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL,Pharmaceuticals & Drugs,,,,
277,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB,Pharmaceuticals & Drugs,,,,
278,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
279,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
280,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
281,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
282,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
283,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
284,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
285,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S,Pharmaceuticals & Drugs,,,,
286,Dr. Reddys Laboratories Ltd.,DRREDDY,R,Pharmaceuticals & Drugs,,,,
287,Divis Laboratories Ltd.,DIVISLAB,D,Pharmaceuticals & Drugs,,,,
288,Cipla Ltd.,CIPLA,C,Pharmaceuticals & Drugs,,,,
289,Biocon Ltd.,BIOCON,B,Pharmaceuticals & Drugs,,,,
290,Aurobindo Pharma Ltd.,AUROPHARMA,AU,Pharmaceuticals & Drugs,,,,
291,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T,Pharmaceuticals & Drugs,,,,
292,Lupin Ltd.,LUPIN,L,Pharmaceuticals & Drugs,,,,
293,Cadila Healthcare Ltd.,CADILAHC,CA,Pharmaceuticals & Drugs,,,,
294,Abbott India Ltd.,ABBOTINDIA,ABB,Pharmaceuticals & Drugs,,,,
